Column1	gender	faculty	Enter Your Location	kind of books preffered for study	How Frequently do you visit library	For what Purposes do yo visit library	Average Time spent in collage	What is general Purposes	Which one is your Prefered location	What is your preferred time?	Preferred language for Learning	Preferred type for reading	Do you enjoy the Reading	Which mode of learning /	Dose Covid Pandemic Ch	How do you study before collage	How do you study after Collage	Do you aware about Nati	Do you Using National di	Dose Covid 19 Pandemic Affected Your Reading Habits	Do you purchase Books from store	Average Expenditure on books	Occupation Of Father	Parents Education	Select your Faculty	Enter your Location	Preferred Language for Learning	Do you Using National dig	Occupation of Father	number of books purchased	Time to read a book
46	Male	Science	Rural	Class Notes	2-3 times in a week	To read Daily News pape r	Less than an hour	To prepare class Assignm	Class Room	Morning	English	New paper	Enjoyable	Hard copy of Reading ma	No	Reading soft copy of boo k	Reading soft copy of boo k	Yes	Yes	No - Not Affected	Yes	Less Than Rs. 500	Farmer	Educated	Science	Rural	English	No	Farmer	26	20
96	Female	Science	Rural	Class Notes	Once in a week	To borrow library material	s Less than an hour	To get the knowledge and	Home	Late Night	English	Others	Very much	Hard copy of Reading ma	No	Reading books in library a	Reading soft copy of boo k	Yes	No	No - Not Affected	No	Less Than Rs. 500	Business	Educated	Science	Rural	English	No	Business	27	25
43	Male	Science	Urban	Text Books	Once in a week	To read Daily News pape r	Less than an hour	To increase General Kno	w Home	Morning	English	Stories and novels	Enjoyable	soft copy of Reading mat e	Yes	Reading soft copy of boo k	Reading books in library a	Yes	Yes	No - Not Affected	Yes	Less Than Rs. 500	Farmer	Educated	Science	Urban	English	No	Farmer	28	29
181	Male	Science	Rural	Reference Books	Once in a month	To Read Daily News Pap	e Less than an hour	To be well informed	Home	Morning	English	New Paper	Very much	Hard copy of Reading Ma	Yes	Reading books in library	Reading Books in Library	No	No	No - Not Affected	Yes	Less Than Rs. 500	Farmer	Educated	Science	Rural	English	No	Farmer	29	9
47	Male	Science	Urban	Reference Books	Once in a month	To borrow library material	s Less than an hour	To increase General Kno	w College lab	Morning	English	Reference books	Very much	Hard copy of Reading ma	Yes	Reading soft copy of boo k	Reading soft copy of boo k	No	No	Yes- Negatively Affected	No	Less Than Rs. 500	Job	Educated	Science	Urban	English	No	Job	30	9
51	Female	Science	Rural	Lecture Videos	Once in a week	To borrow library material	s 2-4 hours	To get the knowledge and	Home	Morning	English	Stories and novels	Enjoyable	Hard copy of Reading ma	Yes	Reading books in library a	Reading soft copy of boo k	Yes	No	Yes - Positively Affected	Yes	Less Than Rs. 500	Farmer	Educated	Science	Rural	English	No	Farmer	31	28
107	Female	Science	Rural	Reference Books	Once in a month	For Reading Novels and	g 2-4 hours	To increase General Kno	w Home	Morning	Marathi	New paper	Very much	soft copy of Reading mat e	Yes	Watching Lecture Videos	Reading books in library a	Yes	Yes	Yes - Positively Affected	Yes	Rs. 500 to Rs. 2000	Job	Educated	Science	Rural	Marathi	No	Job	32	4
190	Female	Science	Rural	Class Notes	Once in a week	To Complete Assignment	2-4 hours	For Career Development	Park or Garden	Morning	English	Stories and novels	Very much	Hard copy of Reading Ma	No	Reading books in library	Reading Books in Library	Yes	No	No - Not Affected	Yes	Less Than Rs. 500	Farmer	Educated	Science	Rural	English	No	Farmer	35	20
61	Female	Science	Urban	Class Notes	Once in a week	For Reading Novels and	g Less than an hour	For career development	Home	Morning	English	New paper	Very much	Hard copy of Reading ma	Yes	Reading soft copy of boo k	Reading soft copy of boo k	No	No	Yes - Positively Affected	Yes	Less Than Rs. 500	Worker	Educated	Science	Urban	English	No	Worker	36	14
69	Female	Science	Rural	Reference Books	Daily	For Reading Novels and	s Less than an hour	To get the knowledge and	Central Library	Morning	English	Reference books	Enjoyable	Academic Videos	Yes	a	a	Yes	No	No - Not Affected	Yes	Less Than Rs. 500	Business	Educated	Science	Rural	English	No	Business	37	25
49	Female	Science	Rural	Text Books	2-3 times in a week	To photo copy reading m	a 2-4 hours	To get the knowledge and	Central Library	Morning	English	Reference books	Enjoyable	soft copy of Reading mat e	Yes	Watching Lecture Videos	Watching Lecture Videos	Yes	Yes	Yes - Positively Affected	No	Above Rs. 2000	Farmer	Educated	Science	Rural	English	No	Farmer	38	29
16	Female	Science	Rural	Text Books	Once in a week	For Reading Novels and	s Less than an hour	For career development	Class Room	Evening	English	Stories and novels	Enjoyable	Hard copy of Reading ma	No	Reading books in library a	Reading soft copy of boo k	Yes	No	No - Not Affected	Yes	Less Than Rs. 500	Farmer	Educated	Science	Rural	English	No	Farmer	39	16
36	Female	Science	Rural	Class Notes	2-3 times in a week	For Reading Novels and	g Less than an hour	To get the knowledge and	Central Library	Late Night	English	New paper	Very much	soft copy of Reading mat	Yes	a	Watching Lecture Videos	Yes	No	Yes- Negatively Affected	Yes	Less Than Rs. 500	Farmer	Educated	Science	Rural	English	No	Farmer	41	25
32	Female	Science	Urban	Class Notes	Rarely	For Reading Novels and	s Less than an hour	To get the knowledge and	Home	Late Night	English	Stories and novels	Enjoyable	Hard copy of Reading ma	Yes	Reading soft copy of boo k	Reading soft copy of boo k	No	No	Yes - Positively Affected	Yes	Rs. 500 to Rs. 2000	Job	Educated	Science	Urban	English	No	Job	42	25
5	Male	Science	Urban	Lecture Videos	Once in a week	For Reading Novels and	s Less than an hour	To get the knowledge and	Park or Garden	Evening	English	Reference books	Enjoyable	Hard copy of Reading ma	Yes	Watching Lecture Videos	Watching Lecture Videos	Yes	No	Yes - Positively Affected	No	Above Rs. 2000	Business	Un-Educated	Science	Urban	English	No	Business	43	19
185	Female	Science	Rural	Lecture Videos	Once in a week	To borrow library material	s 2-4 hours	To be well informed	Home	Late Night	English	Text books	Enjoyable	Hard copy of Reading Ma	No	Reading books in library	Watching Lecture Videos	Yes	No	No - Not Affected	Yes	Rs. 500 to Rs. 2000	Farmer	Educated	Science	Rural	English	Yes	Farmer	44	4
81	Male	Science	Rural	Class Notes	Rarely	For Reading Novels and	g Less than an hour	To get the knowledge and	Home	Evening	English	Reference books	Enjoyable	Hard copy of Reading ma	No	Reading books in library a	Reading books in library a	No	No	No - Not Affected	Yes	Less Than Rs. 500	Farmer	Educated	Science	Rural	English	No	Farmer	45	24
142	Female	Science	Rural	Reference Books	Daily	To Complete Assignment	5-6 hours	To be well informed	Class Room	Evening	English	Text books	Enjoyable	soft copy of Reading mat e	Yes	Reading soft copy of boo	Reading soft copy of boo k	Yes	No	No - Not Affected	Yes	Rs. 500 to Rs. 2000	Farmer	Educated	Science	Rural	English	Yes	Farmer	46	3
2	Female	Science	Rural	Reference Books	Rarely	For Reading Novels and	s Less than an hour	To get the knowledge and	Home	Evening	English	Others	Enjoyable	Academic Videos	Yes	Reading books in library a	Reading soft copy of boo k	Yes	No	No - Not Affected	No	Less Than Rs. 500	Business	Educated	Science	Rural	English	No	Business	47	20
54	Female	Science	Rural	Lecture Videos	Once in a week	To photo copy reading m	a Less than an hour	To get the knowledge and	Class Room	Morning	Marathi	Stories and novels	Enjoyable	Hard copy of Reading ma	Yes	Watching Lecture Videos	Reading soft copy of boo k	Yes	Yes	Yes- Negatively Affected	Yes	Rs. 500 to Rs. 2000	Farmer	Educated	Science	Rural	Marathi	No	Farmer	48	19
106	Female	Science	Rural	Reference Books	2-3 times in a week	For Reading Novels and	g 2-4 hours	To be well informed	Central Library	Morning	English	Journal articles	Enjoyable	Hard copy of Reading ma	Yes	Reading books in library a	Reading soft copy of boo k	Yes	No	Yes- Negatively Affected	Yes	Rs. 500 to Rs. 2000	Job	Educated	Science	Rural	English	No	Job	50	22
56	Female	Science	Rural	Class Notes	Once in a month	For Reading Novels and	s Less than an hour	To get the knowledge and	Central Library	Morning	English	Reference books	Enjoyable	Academic Videos	Yes	Watching Lecture Videos	Reading soft copy of boo k	Yes	Yes	Yes - Positively Affected	Yes	Less Than Rs. 500	Farmer	Educated	Science	Rural	English	No	Farmer	51	8
119	Female	Science	Rural	Reference Books	Once in a week	For Reading Novels and	g 2-4 hours	To increase General Kno	w Home	Morning	English	New Paper	Very much	soft copy of Reading mat e	Yes	Reading soft copy of boo k	Reading Books in Library	Yes	No	No - Positively Affected	Yes	Less Than Rs. 500	Farmer	Educated	Science	Rural	English	Yes	Farmer	52	27
158	Female	Science	Rural	Class Notes	Once in a week	For Reading Novels and	g Less than an hour	To get the knowledge and	Class Room	Afternoon	English	Competitive books	Enjoyable	Hard copy of Reading Ma	Yes	Reading books in library	Reading Books in Library	No	No	No - Positively Affected	Yes	Rs. 500 to Rs. 2000	Farmer	Un-Educated	Science	Rural	English	No	Farmer	54	20
13	Male	other	Urban	Class Notes	Once in a week	For Reading Novels and	s Less than an hour	To get the knowledge and	Central Library	Morning	Marathi	New paper	Enjoyable	Hard copy of Reading ma	Yes	Reading books in library a	Reading soft copy of boo k	Yes	No	Yes- Negatively Affected	Yes	Less Than Rs. 500	Worker	Educated	Science	Urban	Marathi	No	Worker	55	21
57	Female	Commerce	Urban	Class Notes	Once in a week	To photo copy reading m	a Less than an hour	To get the knowledge and	Central Library	Late Night	English	Competitive books	Enjoyable	Hard copy of Reading ma	No	Watching Lecture Videos	Watching Lecture Videos	Yes	No	No - Not Affected	Yes	Less Than Rs. 500	Farmer	Educated	Science	Urban	English	No	Farmer	56	14
33	Female	Science	Urban	Lecture Videos	Once in a week	For Reading Novels and	s Less than an hour	To get the knowledge and	Home	Morning	Marathi	Stories and novels	Enjoyable	Hard copy of Reading ma	Yes	Reading soft copy of boo k	a	Yes	No	Yes - Positively Affected	Yes	Rs. 500 to Rs. 2000	Business	Educated	Science	Urban	Marathi	No	Business	57	8
193	Male	Science	Rural	Reference Books	2-3 times in a week	To Complete Assignment	5-6 hours	To get the knowledge and	College Lab	Evening	English	Reference books	Very much	Hard copy of Reading Ma	Yes	Reading books in library	Reading Books in Library	Yes	No	No - Not Affected	Yes	Above Rs. 2000	Farmer	Educated	Science	Rural	English	Yes	Farmer	58	23
72	Male	Arts	Urban	Text Books	2-3 times in a week	For Reading Novels and	g 6 and Above	To increase General Kno	w Home	Morning	Marathi	New paper	Very much	soft copy of Reading mat	Yes	a	Reading soft copy of boo k	No	No	Yes - Positively Affected	No	Above Rs. 2000	Business	Educated	Science	Urban	Marathi	No	Business	59	10
9	Female	Science	Rural	Class Notes	2-3 times in a week	For Reading Novels and	2-4 hours	To get the knowledge and	Home	Late Night	English	Competitive books	Enjoyable	Academic Videos	No	Watching Lecture Videos	Watching Lecture Videos	Yes	No	No - Not Affected	Yes	Rs. 500 to Rs. 2000	Farmer	Educated	Science	Rural	English	No	Farmer	60	13
98	Male	Science	Rural	Class Notes	Once in a week	For Reading Novels and	g 2-4 hours	To be well informed	Central Library	Morning	English	Text books	Enjoyable	Academic Videos	Yes	Reading books in library a	Watching Lecture Videos	No	No	Yes- Negatively Affected	Yes	Less Than Rs. 500	Farmer	Un-Educated	Science	Rural	English	No	Farmer	62	8
177	Male	Science	Rural	Class Notes	Once in a week	To borrow library material	s 2-4 hours	To increase General Kno	w Home	Morning	English	Stories and novels	Very much	Hard copy of Reading Ma	Yes	Reading books in library	Reading Books in Library	Yes	No	No - Positively Affected	Yes	Rs. 500 to Rs. 2000	Farmer	Un-Educated	Science	Rural	English	Yes	Farmer	63	16
78	Female	Science	Rural	Class Notes	Once in a week	For Reading Novels and	g Less than an hour	To get the knowledge and	Home	Afternoon	Marathi	Stories and novels	Enjoyable	Hard copy of Reading ma	No	Reading books in library a	Watching Lecture Videos	No	No	Yes - Positively Affected	Yes	Rs. 500 to Rs. 2000	Farmer	Educated	Science	Rural	Marathi	No	Farmer	64	28
21	Male	Science	Rural	Reference Books	Daily	For Reading Novels and	g Less than an hour	To increase General Kno	w Campus Ground	Morning	English	Magazines	Just okay	Hard copy of Reading ma	No	Reading soft copy of boo k	Watching Lecture Videos	Yes	No	Yes - Positively Affected	Yes	Above Rs. 2000	Farmer	Un-Educated	Science	Rural	English	No	Farmer	65	12
19	Male	other	Urban	Reference Books	Once in a week	For Reading Novels and	s Less than an hour	For career development	Home	Afternoon	Marathi	New paper	Enjoyable	Hard copy of Reading ma	Yes	Reading soft copy of boo k	Reading soft copy of boo k	Yes	Yes	Yes - Positively Affected	Yes	Rs. 500 to Rs. 2000	Farmer	Educated	Science	Urban	Marathi	No	Farmer	66	19
86	Female	Science	Rural	Reference Books	2-3 times in a week	For Reading Novels and	g 2-4 hours	To get the knowledge and	College lab	Morning	English	Reference books	Enjoyable	Hard copy of Reading ma	Yes	Reading soft copy of boo k	Reading soft copy of boo k	Yes	No	Yes - Positively Affected	Yes	Rs. 500 to Rs. 2000	Farmer	Educated	Science	Rural	English	No	Farmer	67	25
76	Male	Science	Rural	Class Notes	Once in a month	To read Daily News pape r	Less than an hour	To get the knowledge and	Home	Morning	English	New paper	Enjoyable	Hard copy of Reading ma	Yes	Reading soft copy of boo k	Reading books in library a	Yes	Yes	Yes - Positively Affected	Yes	Less Than Rs. 500	Farmer	Educated	Science	Rural	English	No	Farmer	68	26
27	Female	Science	Rural	Class Notes	Once in a month	For Reading Novels and	s Less than an hour	For career development	Central Library	Evening	Marathi	Stories and novels	Enjoyable	Academic Videos	Yes	a	Reading soft copy of boo k	Yes	No	Yes- Negatively Affected	No	Less Than Rs. 500	Worker	Educated	Science	Rural	Marathi	No	Worker	69	29
29	Female	Science	Rural	Class Notes	Rarely	For Reading Novels and	g Less than an hour	To pass the examination	Home	Morning	Marathi	Journal articles	Very much	Hard copy of Reading ma	No	Reading soft copy of boo k	Reading soft copy of boo k	No	No	No - Not Affected	Yes	Less Than Rs. 500	Farmer	Educated	Science	Rural	Marathi	No	Farmer	70	16
35	Male	Science	Urban	Other	2-3 times in a week	For Reading Novels and	s 2-4 hours	To get the knowledge and	Park or Garden	Afternoon	Hindi	New paper	Very much	soft copy of Reading mat	No	Reading soft copy of boo k	Reading soft copy of boo k	No	No	No - Not Affected	Yes	Rs. 500 to Rs. 2000	Job	Educated	Science	Urban	Hindi	No	Job	71	23
89	Male	Science	Rural	Reference Books	2-3 times in a week	To borrow library material	s 2-4 hours	To get the knowledge and	Central Library	Evening	English	Stories and novels	Very much	Hard copy of Reading ma	Yes	Reading books in library a	Reading soft copy of boo k	No	No	Yes- Negatively Affected	Yes	Less Than Rs. 500	Worker	Educated	Science	Rural	English	No	Worker	72	28
20	Male	Arts	Rural	Reference Books	2-3 times in a week	For Reading Novels and	s Less than an hour	To get the knowledge and	Campus Ground	Evening	Marathi	New paper	Enjoyable	Hard copy of Reading ma	No	Watching Lecture Videos	Watching Lecture Videos	No	No	No - Not Affected	Yes	Less Than Rs. 500	Job	Educated	Science	Rural	Marathi	No	Job	73	10
44	Male	Science	Urban	Class Notes	Once in a week	For Reading Novels and	g Less than an hour	To get the knowledge and	College lab	Morning	Marathi	Journal articles	Enjoyable	Hard copy of Reading ma	Yes	Reading books in library a	Reading books in library a	Yes	Yes	Yes - Positively Affected	Yes	Rs. 500 to Rs. 2000	Farmer	Educated	Science	Urban	Marathi	No	Farmer	74	13
117	Female	Science	Rural	Text Books	Once in a month	To borrow library material	s Less than an hour	To get the knowledge and	Home	Evening	English	Stories and novels	Just okay	Hard copy of Reading Ma	Yes	Reading books in library a	Reading Books in Library	Yes	No	No - Positively Affected	No	Less Than Rs. 500	Farmer	Educated	Science	Rural	English	No	Farmer	75	28
18	Male	Science	Rural	Reference Books	2-3 times in a week	For Reading Novels and	g Less than an hour	To increase General Kno	w Home	Morning	English	Competitive books	Very much	Hard copy of Reading ma	No	Reading soft copy of boo k	a	Yes	Yes	Yes - Positively Affected	Yes	Above Rs. 2000	Job	Educated	Science	Rural	English	No	Job	76	20
149	Male	Science	Rural	Reference Books	Once in a week	For Reading Novels and	g Less than an hour	To get the knowledge and	Home	Afternoon	English	Stories and novels	Just okay	soft copy of Reading mat e	Yes	Reading soft copy of boo	Reading Books in Library	Yes	No	No - Positively Affected	No	Less Than Rs. 500	Farmer	Un-Educated	Science	Rural	English	Yes	Farmer	77	16
91	Female	Science	Urban	Reference Books	Once in a week	To borrow library material	s Less than an hour	To get the knowledge and	Home	Late Night	English	Reference books	Enjoyable	Academic Videos	Yes	Reading soft copy of boo k	Reading soft copy of boo k	No	No	No - Not Affected	Yes	Less Than Rs. 500	Job	Educated	Science	Urban	English	No	Job	78	19
0	Female	Arts	Urban	Text Books	Once in a week	For Reading Novels and	s 2-4 hours	To while away time	Home	Afternoon	other	Stories and novels	Enjoyable	Hard copy of Reading ma	Yes	Reading soft copy of boo k	Reading soft copy of boo k	Yes	Yes	No - Not Affected	Yes	Less Than Rs. 500	Farmer	Educated	Science	Urban	other	No	Farmer	79	27
92	Female	Science	Urban	Class Notes	2-3 times in a week	For Reading Novels and	g Less than an hour	To get the knowledge and	Home	Evening	English	Competitive books	Very much	Hard copy of Reading ma	Yes	Reading books in library a	Reading books in library a	Yes	No	Yes - Positively Affected	Yes	Less Than Rs. 500	Job	Educated	Science	Urban	English	No	Job	80	16
112	Female	Science	Rural	Text Books	Rarely	For Reading Novels and	g Less than an hour	To get the knowledge and	Central Library	Afternoon	English	Stories and novels	Enjoyable	Hard copy of Reading Ma	Yes	Reading books in library a	Reading soft copy of boo k	No	No	Yes - Negatively Affected	Yes	Less Than Rs. 500	Farmer	Educated	Science	Rural	English	No	Farmer	81	24
153	Female	Science	Rural	Class Notes	2-3 times in a week	To Read Daily News Pap	e 2-4 hours	To increase General Kno	w Central Library	Late Night	English	Reference books	Very much	Hard copy of Reading Ma	Yes	Reading soft copy of boo	Reading Books in Library	Yes	No	No - Positively Affected	Yes	Rs. 500 to Rs. 2000	Farmer	Educated	Commerce	Rural	English	Yes	Farmer	82	28
129	Male	Science	Rural	Class Notes	Once in a month	For Reading Novels and	g Less than an hour	To increase General Kno	w Home	Evening	English	Competitive books	Very much	Hard copy of Reading Ma	Yes	Reading books in library	Reading soft copy of boo k	Yes	No	No - Not Affected	Yes	Less Than Rs. 500	Farmer	Un-Educated	Science	Rural	English	Yes	Farmer	83	13
211	Male	Science	Rural	Text Books	2-3 times in a week	To borrow library material	s 2-4 hours	To get the knowledge and	Central Library	Morning	English	Competitive books	Enjoyable	Hard copy of Reading Ma	No	Reading soft copy of boo	Reading Books in Library	Yes	No	Yes - Negatively Affected	Yes	Above Rs. 2000	Farmer	Educated	Science	Rural	English	No	Farmer	84	12
58	Male	Commerce	Urban	Other	2-3 times in a week	To Complete Assignment	Less than an hour	For career development	Home	Morning	Marathi	New paper	Enjoyable	Hard copy of Reading ma	No	Reading soft copy of boo k	a	Yes	Yes	No - Not Affected	No	Rs. 500 to Rs. 2000	Job	Educated	Science	Urban	Marathi	No	Job	85	13
148	Male	Science	Rural	Class Notes	Once in a week	For Reading Novels and	g Less than an hour	To get the knowledge and	Home	Late Night	English	Others	Just okay	Hard copy of Reading ma	Yes	Reading soft copy of boo	Reading Books in Library	Yes	No	Yes - Negatively Affected	No	Less Than Rs. 500	Farmer	Un-Educated	Science	Rural	English	Yes	Farmer	86	13
188	Female	Science	Rural	Class Notes	Once in a week	To borrow library material	s Less than an hour	To get the knowledge and	Park or Garden	Morning	English	Competitive books	Enjoyable	Hard copy of Reading Ma	Yes	Reading soft copy of boo	Reading soft copy of boo k	No	No	No - Positively Affected	Yes	Rs. 500 to Rs. 2000	Farmer	Educated	Science	Rural	English	No	Farmer	87	9
93	Male	Science	Urban	Other	2-3 times in a week	For Reading Novels and	g 2-4 hours	To get the knowledge and	Home	Afternoon	Hindi	New paper	Very much	soft copy of Reading mat e	No	Reading soft copy of boo k	Reading soft copy of boo k	No	No	No - Not Affected	Yes	Rs. 500 to Rs. 2000	Job	Educated	Science	Urban	Hindi	No	Job	88	25
